airport;day;number;status;quality;is_cargo;terminal;gate;scheduledTime;revisedTime;runwayTime;predictedTime;actualTime;estimatedTime
SVO;2026-09-01;SU 1042;Departed;Basic+Live;0;B;107;2026-09-01 08:20+03:00;2026-09-01 08:20+03:00;2026-09-01 08:39+03:00;;;
SVO;2026-09-01;SU 1200;Departed;Basic+Live;0;B;123;2026-09-01 08:30+03:00;2026-09-01 08:22+03:00;2026-09-01 08:37+03:00;;;
SVO;2026-09-01;SU 1108;Departed;Basic+Live;0;B;104;2026-09-01 08:25+03:00;2026-09-01 08:23+03:00;2026-09-01 08:44+03:00;;;
SVO;2026-09-01;SU 1210;Departed;Basic+Live;0;B;102;2026-09-01 08:25+03:00;2026-09-01 08:25+03:00;;;;
SVO;2026-09-01;SU 422;Departed;Basic+Live;0;C;126;2026-09-01 08:35+03:00;2026-09-01 08:31+03:00;2026-09-01 08:46+03:00;;;
SVO;2026-09-01;SU 1400;Departed;Basic+Live;0;B;112;2026-09-01 08:35+03:00;2026-09-01 08:32+03:00;2026-09-01 08:48+03:00;;;
SVO;2026-09-01;SU 1148;Departed;Basic+Live;0;B;101;2026-09-01 08:40+03:00;2026-09-01 08:37+03:00;2026-09-01 08:54+03:00;;;
SVO;2026-09-01;SU 1304;Departed;Basic+Live;0;B;121;2026-09-01 08:40+03:00;2026-09-01 08:37+03:00;2026-09-01 08:51+03:00;;;
SVO;2026-09-01;SU 6415;Departed;Basic+Live;0;B;114;2026-09-01 08:50+03:00;2026-09-01 08:45+03:00;2026-09-01 08:58+03:00;;;
SVO;2026-09-01;FV 6415;Departed;Basic+Live;0;B;114;2026-09-01 08:50+03:00;2026-09-01 08:45+03:00;2026-09-01 08:58+03:00;;;
SVO;2026-09-01;DP 6841;Departed;Basic+Live;0;D;3;2026-09-01 08:00+03:00;2026-09-01 08:50+03:00;2026-09-01 08:58+03:00;;;
SVO;2026-09-01;SM 936;Departed;Basic+Live;0;C;135;2026-09-01 07:35+03:00;2026-09-01 08:51+03:00;2026-09-01 09:04+03:00;;;
SVO;2026-09-01;SU 1538;Departed;Basic+Live;0;B;102;2026-09-01 08:55+03:00;2026-09-01 08:52+03:00;2026-09-01 09:07+03:00;;;
SVO;2026-09-01;SU 1016;Departed;Basic+Live;0;B;122;2026-09-01 09:00+03:00;2026-09-01 08:54+03:00;2026-09-01 09:06+03:00;;;
SVO;2026-09-01;SU 1498;Departed;Basic+Live;0;B;103;2026-09-01 08:45+03:00;2026-09-01 08:56+03:00;2026-09-01 09:14+03:00;;;
SVO;2026-09-01;SU 6299;Departed;Basic+Live;0;B;114;2026-09-01 06:00+03:00;2026-09-01 08:57+03:00;2026-09-01 09:01+03:00;;;
SVO;2026-09-01;FV 6299;Departed;Basic+Live;0;B;114;2026-09-01 06:00+03:00;2026-09-01 08:57+03:00;2026-09-01 09:01+03:00;;;
SVO;2026-09-01;SU 6503;Departed;Basic+Live;0;B;102;2026-09-01 08:10+03:00;2026-09-01 08:57+03:00;2026-09-01 11:12+03:00;;;
SVO;2026-09-01;SU 2136;Departed;Basic+Live;0;C;139;2026-09-01 08:45+03:00;2026-09-01 08:59+03:00;2026-09-01 09:16+03:00;;;
SVO;2026-09-01;SU 6167;Canceled;Basic+Live;0;B;103;2026-09-01 09:00+03:00;2026-09-01 09:00+03:00;;;;
SVO;2026-09-01;FV 6167;Canceled;Basic+Live;0;B;103;2026-09-01 09:00+03:00;2026-09-01 09:00+03:00;;;;
SVO;2026-09-01;DP 6821;Departed;Basic+Live;0;D;1;2026-09-01 09:00+03:00;2026-09-01 09:00+03:00;2026-09-01 09:10+03:00;;;
SVO;2026-09-01;FV 6155;Departed;Basic+Live;0;B;101;2026-09-01 03:10+03:00;2026-09-01 09:03+03:00;2026-09-01 09:11+03:00;;;
SVO;2026-09-01;SU 6155;Departed;Basic+Live;0;B;101;2026-09-01 03:10+03:00;2026-09-01 09:03+03:00;2026-09-01 09:11+03:00;;;
SVO;2026-09-01;SU 1830;Departed;Basic+Live;0;C;136;2026-09-01 09:10+03:00;2026-09-01 09:04+03:00;2026-09-01 09:19+03:00;;;
SVO;2026-09-01;SU 1320;Departed;Basic+Live;0;B;116;2026-09-01 09:15+03:00;2026-09-01 09:06+03:00;2026-09-01 09:22+03:00;;;
SVO;2026-09-01;SU 2124;Departed;Basic+Live;0;C;145;2026-09-01 09:15+03:00;2026-09-01 09:11+03:00;2026-09-01 09:24+03:00;;;
SVO;2026-09-01;SU 1094;Departed;Basic+Live;0;B;117;2026-09-01 09:20+03:00;2026-09-01 09:15+03:00;2026-09-01 09:27+03:00;;;
SVO;2026-09-01;SU 1044;Departed;Basic+Live;0;B;120;2026-09-01 09:25+03:00;2026-09-01 09:16+03:00;2026-09-01 09:28+03:00;;;
SVO;2026-09-01;SU 1602;Departed;Basic+Live;0;B;113;2026-09-01 09:25+03:00;2026-09-01 09:17+03:00;2026-09-01 09:35+03:00;;;
SVO;2026-09-01;DP 6927;Departed;Basic+Live;0;D;3;2026-09-01 09:20+03:00;2026-09-01 09:20+03:00;2026-09-01 09:31+03:00;;;
SVO;2026-09-01;SU 1544;Departed;Basic+Live;0;B;115;2026-09-01 09:25+03:00;2026-09-01 09:20+03:00;2026-09-01 09:38+03:00;;;
SVO;2026-09-01;SU 1866;Departed;Basic+Live;0;C;128;2026-09-01 09:30+03:00;2026-09-01 09:24+03:00;2026-09-01 09:44+03:00;;;
SVO;2026-09-01;SU 6811;Departed;Basic+Live;0;B;106;2026-09-01 07:30+03:00;2026-09-01 09:28+03:00;2026-09-01 09:47+03:00;;;
SVO;2026-09-01;FV 6811;Departed;Basic+Live;0;B;106;2026-09-01 07:30+03:00;2026-09-01 09:28+03:00;2026-09-01 09:47+03:00;;;
SVO;2026-09-01;D2 152;Departed;Basic+Live;0;B;104;2026-09-01 09:30+03:00;2026-09-01 09:29+03:00;2026-09-01 09:41+03:00;;;
SVO;2026-09-01;SU 1416;Departed;Basic+Live;0;B;103;2026-09-01 09:30+03:00;2026-09-01 09:30+03:00;2026-09-01 09:53+03:00;;;
SVO;2026-09-01;SU 1518;Departed;Basic+Live;0;B;118;2026-09-01 09:35+03:00;2026-09-01 09:33+03:00;2026-09-01 09:56+03:00;;;
SVO;2026-09-01;FV 6385;Departed;Basic+Live;0;B;112;2026-09-01 09:40+03:00;2026-09-01 09:35+03:00;2026-09-01 09:50+03:00;;;
SVO;2026-09-01;SU 6385;Departed;Basic+Live;0;B;112;2026-09-01 09:40+03:00;2026-09-01 09:35+03:00;2026-09-01 09:50+03:00;;;
SVO;2026-09-01;SU 10;Departed;Basic+Live;0;B;119;2026-09-01 09:45+03:00;2026-09-01 09:41+03:00;2026-09-01 10:01+03:00;;;
SVO;2026-09-01;SU 1138;Departed;Basic+Live;0;B;109;2026-09-01 09:50+03:00;2026-09-01 09:44+03:00;2026-09-01 10:05+03:00;;;
SVO;2026-09-01;SU 1348;Departed;Basic+Live;0;B;105;2026-09-01 09:45+03:00;2026-09-01 09:44+03:00;2026-09-01 10:08+03:00;;;
SVO;2026-09-01;SU 1688;Departed;Basic+Live;0;B;102;2026-09-01 09:45+03:00;2026-09-01 09:45+03:00;2026-09-01 10:14+03:00;;;
